word,phonetic,partOfSpeech,definition,example
border,/ˈbɔːdə/,n./vt.,边界，与...接壤,The river forms the border.
bore,/bɔː/,vt./n./vi.,使厌烦，孔,The lecture bored me.
born,/bɔːn/,adj./v.,天生的，出生,He was born in 1990.
borrow,/ˈbɒrəʊ/,vt./vi.,借，借用,May I borrow your pen?
bosom,/ˈbʊzəm/,n.,胸，胸怀,She held the baby to her bosom.
boss,/bɒs/,n.,老板，上司,He is my boss.
both,/bəʊθ/,pron./adj.,两者，双方的,Both of them are doctors.
bother,/ˈbɒðə/,vt./vi./n.,打扰，麻烦,Don't bother him.
bottle,/ˈbɒtl/,n.,瓶子,He drank a bottle of water.
bottom,/ˈbɒtəm/,n./adj.,底部，底部的,The bottle fell to the bottom.
bough,/baʊ/,n.,大树枝,The bird sat on the bough.
bounce,/baʊns/,vi./vt./n.,弹起，反弹,The ball bounced high.
bound,/baʊnd/,adj./n./v./vt.,被束缚的，界限，跳跃,He is bound by duty.
boundary,/ˈbaʊndri/,n.,分界线，边界,The boundary line is clear.
bow,/baʊ/,n./vi./vt.,弓，鞠躬,He bowed to the queen.
bowl,/bəʊl/,n.,碗,He ate a bowl of rice.
bowling,/ˈbəʊlɪŋ/,n.,保龄球,They went bowling.
box,/bɒks/,n./vt.,箱子，拳击,He packed his clothes in a box.
boy,/bɔɪ/,n.,男孩,The boy is playing.
brain,/breɪn/,n.,脑，脑髓,The human brain is complex.
brake,/breɪk/,n./vt./vi.,制动器，刹车,He applied the brake.
branch,/brɑːntʃ/,n.,树枝，分支,The bird sat on the branch.
brand,/brænd/,n./vt.,商标，打烙印,This is a famous brand.
brandy,/ˈbrændi/,n.,白兰地,He drank brandy.
brass,/brɑːs/,n.,黄铜,The trumpet is made of brass.
brave,/breɪv/,adj.,勇敢的,He is a brave soldier.
bravery,/ˈbreɪvəri/,n.,勇敢，大胆,His bravery was rewarded.
bread,/bred/,n.,面包,We had bread for breakfast.
breadth,/bredθ/,n.,宽度，幅员,The breadth of the river is 100 meters.
break,/breɪk/,vt./vi./n.,打破，休息,Don't break the glass.
breakdown/,ˈbreɪkdaʊn/,n.,崩溃，故障,The car had a breakdown.
breakfast,/ˈbrekfəst/,n.,早餐,He had eggs for breakfast.
breast,/brest/,n.,乳房，胸膛,She breastfed the baby.
breath,/breθ/,n.,气息，呼吸,Take a deep breath.
breathe,/briːð/,vi./vt.,呼吸,Breathe deeply.
breed,/briːd/,n./vt./vi.,品种，繁殖，饲养,This dog breed is popular.
breeze,/briːz/,n.,微风,A cool breeze blew.
brew,/bruː/,vt./vi./n.,酿造，冲泡,He brewed coffee.
brick,/brɪk/,n.,砖，砖块,The house is made of brick.
bride,/braɪd/,n.,新娘,The bride wore white.
bridegroom/,ˈbraɪdɡruːm/,n.,新郎,The bridegroom waited at the altar.
bridge,/brɪdʒ/,n./vt.,桥，桥梁,They crossed the bridge.
brief,/briːf/,adj./n./vt.,简短的，摘要,Give me a brief report.
bright,/braɪt/,adj./adv.,明亮的，聪明地,The future looks bright.
brilliant/,ˈbrɪliənt/,adj.,光辉的，杰出的,She is brilliant at math.
brim,/brɪm/,n./vt.,边缘，注满,The cup was filled to the brim.
bring,/brɪŋ/,vt.,带来,Bring me a glass of water.
brisk,/brɪsk/,adj.,轻快的，兴隆的,He took a brisk walk.
brittle,/ˈbrɪtl/,adj.,脆的，易碎的,The glass is brittle.
broad,/brɔːd/,adj.,宽的，广阔的,The river is broad.
broadcast/,ˈbrɔːdkɑːst/,n./vt./vi.,广播，播音,The news was broadcast.
brochure/,ˈbrəʊʃə/,n.,小册子,Please read the brochure.
broken,/ˈbrəʊkən/,adj.,破碎的，骨折的,The vase is broken.
bronze,/brɒnz/,n./adj.,青铜，青铜色的,The statue is made of bronze.
brook,/brʊk/,n./vt.,小溪，容忍,The brook flows gently.
broom,/bruːm/,n.,扫帚,She swept the floor with a broom.
brother,/ˈbrʌðə/,n.,兄弟,He is my brother.
brow,/braʊ/,n.,额，眉毛,He wrinkled his brow.
brown,/braʊn/,adj./n.,褐色的，褐色,He has brown hair.
bruise,/bruːz/,n./vt./vi.,淤伤，打伤,He has a bruise on his arm.
brush,/brʌʃ/,n./vt.,刷子，刷,Brush your teeth.
brutal,/ˈbruːtl/,adj.,残忍的，野蛮的,The murder was brutal.
bubble,/ˈbʌbl/,n./vi.,泡，气泡，冒泡,The soap bubble burst.
bucket,/ˈbʌkɪt/,n.,水桶,He filled the bucket with water.
bud,/bʌd/,n./vi.,芽，萌芽,The flowers are in bud.
budget,/ˈbʌdʒɪt/,n./vt./vi.,预算,The budget is limited.
buffet,/ˈbʌfeɪ/,n./vt.,自助餐，打击,They had a buffet lunch.
bug,/bʌɡ/,n./vt.,虫子，窃听器，烦扰,There is a bug in the software.
build,/bɪld/,vt./vi./n.,建筑，建造,They built a new house.
building,/ˈbɪldɪŋ/,n.,建筑物，建筑,The building is tall.
bulb,/bʌlb/,n.,灯泡，球状物,The light bulb burned out.
bulk,/bʌlk/,n./adj.,大部分，巨大的,The bulk of the work is done.
bull,/bʊl/,n.,公牛,The bull is strong.
bullet,/ˈbʊlɪt/,n.,子弹,The bullet hit the target.
bulletin/,ˈbʊlətɪn/,n.,公告，公报,Read the bulletin board.
bully,/ˈbʊli/,n./vt.,欺凌者，欺负,Don't bully others.
bunch,/bʌntʃ/,n./vt.,束，串，捆,She bought a bunch of flowers.
bundle,/ˈbʌndl/,n./vt.,捆，包，扎,He carried a bundle of clothes.
burden,/ˈbɜːdn/,n./vt.,负担，装载,The burden is too heavy.
bureau,/ˈbjʊərəʊ/,n.,局，办事处,The bureau of statistics.
bureaucracy/,bjʊəˈrɒkrəsi/,n.,官僚主义，官僚机构,The bureaucracy is inefficient.
burglar,/ˈbɜːɡlə/,n.,窃贼,The burglar stole the jewelry.
burial,/ˈberiəl/,n.,埋葬，葬礼,They attended the burial.
burn,/bɜːn/,vt./vi./n.,燃烧，烧,Don't burn the toast.
burst,/bɜːst/,vi./vt./n.,爆炸，破裂,The balloon burst.
bury,/ˈberi/,vt./vi.,埋葬，掩埋,They buried the treasure.
bus,/bʌs/,n.,公共汽车,He took the bus to work.
bush,/bʊʃ/,n.,灌木,The bird hid in the bush.
business,/ˈbɪznəs/,n.,商业，生意,He is in business.
busy,/ˈbɪzi/,adj.,忙碌的,He is busy today.
but,/bʌt/,conj./prep./adv.,但是，除...外,It's small but expensive.
butcher,/ˈbʊtʃə/,n./vt.,屠夫，屠宰,The butcher sells meat.
butter,/ˈbʌtə/,n./vt.,黄油，涂黄油,He spread butter on bread.
butterfly/,ˈbʌtəflaɪ/,n.,蝴蝶,The butterfly is beautiful.
button,/ˈbʌtn/,n./vt.,扣子，扣上,Button your shirt.
buy,/baɪ/,vt./vi.,买,I want to buy a car.
by,/baɪ/,prep./adv.,在...旁，被，通过,He went by train.
bypass/,ˈbaɪpɑːs/,n./vt.,旁道，绕过,Take the bypass to avoid traffic.
